DateTime,IncidentNumber,IncidentORI
2022-02-01 00:04:00,2022-00001588,15300 E LINDSEY ST
2022-02-01 00:04:00,2022-00002065,15300 E LINDSEY ST
2022-02-01 00:04:00,2022-00005621,15300 E LINDSEY ST
2022-02-01 00:06:00,2022-00002066,901 N PORTER AVE
2022-02-01 00:18:00,2022-00005622,612 E ROCK CREEK RD
2022-02-01 00:35:00,2022-00005623,325 E COMANCHE ST
2022-02-01 00:36:00,2022-00001589,2113 GODDARD AVE
2022-02-01 00:41:00,2022-00005624,E ROBINSON ST / N PORTER AVE
2022-02-01 00:51:00,2022-00005625,2289 W LINDSEY ST
2022-02-01 00:57:00,2022-00005626,2474 E LINDSEY ST
2022-02-01 01:04:00,2022-00005627,1944 W ROBINSON ST
2022-02-01 01:07:00,2022-00005630,1122 24TH AVE SW
2022-02-01 01:08:00,2022-00005628,540 E ROBINSON ST
2022-02-01 01:10:00,2022-00005629,E ROBINSON ST / N STATE DR
2022-02-01 01:17:00,2022-00001590,2136 W BROOKS ST
2022-02-01 01:17:00,2022-00002067,2136 W BROOKS ST
2022-02-01 01:18:00,2022-00001591,1712 VIRGINIA ST
2022-02-01 01:18:00,2022-00002068,1712 VIRGINIA ST
2022-02-01 01:18:00,2022-00005631,1712 VIRGINIA ST
2022-02-01 01:22:00,2022-00001592,1100 COLLEGE AVE
2022-02-01 01:23:00,2022-00005632,2600 W MAIN ST
2022-02-01 01:43:00,2022-00005633,1125 BRANDYWINE LN
2022-02-01 01:54:00,2022-00005634,BEAUMONT DR / BILOXI DR
2022-02-01 01:59:00,2022-00005635,441 12TH AVE SE
2022-02-01 02:00:00,2022-00005636,251 12TH AVE SE
2022-02-01 02:11:00,2022-00005637,1872 E LINDSEY ST
2022-02-01 02:12:00,2022-00005638,2920 CHAUTAUQUA AVE
2022-02-01 02:15:00,2022-00005639,ASP AVE / W LINDSEY ST
2022-02-01 02:33:00,2022-00005640,E FRANKLIN RD / 12TH AVE NE
2022-02-01 02:33:00,2022-00005641,1201 12TH AVE NE
2022-02-01 02:34:00,2022-00001593,125 INTERSTATE DR E
2022-02-01 02:34:00,2022-00002069,125 INTERSTATE DR E
2022-02-01 02:36:00,2022-00005642,3700 12TH AVE SE
2022-02-01 02:51:00,2022-00005643,120 E HAYES ST
2022-02-01 02:55:00,2022-00005644,2316 W LINDSEY ST
2022-02-01 03:10:00,2022-00002070,3300 HEALTHPLEX PKWY
2022-02-01 03:14:00,2022-00005645,2900 OAK TREE AVE
2022-02-01 03:16:00,2022-00001594,3000 GINGER DR
2022-02-01 03:16:00,2022-00002071,3000 GINGER DR
2022-02-01 03:31:00,2022-00002072,901 N PORTER AVE
2022-02-01 03:58:00,2022-00001595,2402 W BROOKS ST
2022-02-01 04:40:00,2022-00005646,3651 CLASSEN BLVD
2022-02-01 05:40:00,2022-00002073,901 N PORTER AVE
2022-02-01 05:51:00,2022-00005647,2411 SPRINGER DR
2022-02-01 05:53:00,2022-00005648,ROSEWOOD DR / DAKOTA ST
2022-02-01 06:04:00,2022-00005649,621 SUNRISE ST
